Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
31.671,1205575.0,1126472.0,391013.0,489224.0,-18473.0,650870.0,-8397.0,-8388608.0
31.673,1254826.0,1126427.0,377528.0,508273.0,-19061.0,648547.0,14511.0,-8388608.0
31.675,1254826.0,1126427.0,377528.0,508273.0,-19061.0,648547.0,14511.0,-8388608.0
31.677,1249995.0,1131787.0,357016.0,494572.0,-18304.0,646949.0,39424.0,-8388608.0
31.679,1249995.0,1131787.0,357016.0,494572.0,-18304.0,646949.0,39424.0,-8388608.0
31.681,1216832.0,1125738.0,379268.0,502016.0,-18078.0,635499.0,-9908.0,-8388608.0
31.683,1216832.0,1125738.0,379268.0,502016.0,-18078.0,635499.0,-9908.0,-8388608.0
31.685,1203711.0,1116376.0,378781.0,483538.0,-18269.0,653234.0,-11477.0,-8388608.0
31.687,1203711.0,1116376.0,378781.0,483538.0,-18269.0,653234.0,-11477.0,-8388608.0
31.689,1212143.0,1117261.0,377234.0,466613.0,-18136.0,662075.0,-8272.0,-8388608.0
31.691,1212143.0,1117261.0,377234.0,466613.0,-18136.0,662075.0,-8272.0,-8388608.0
31.693,1206694.0,1119813.0,376587.0,487886.0,-18286.0,677552.0,-741.0,-8388608.0
31.695,1206694.0,1119813.0,376587.0,487886.0,-18286.0,677552.0,-741.0,-8388608.0
31.707,1167630.0,1103276.0,267576.0,408092.0,-18374.0,716731.0,-9568.0,-8388608.0
31.709,1166933.0,1112706.0,282885.0,410320.0,-17497.0,683550.0,-4777.0,-8388608.0
31.711,1166933.0,1112706.0,282885.0,410320.0,-17497.0,683550.0,-4777.0,-8388608.0
31.713,1155426.0,1094543.0,284329.0,409643.0,-17676.0,699828.0,-8224.0,-8388608.0
31.715,1155426.0,1094543.0,284329.0,409643.0,-17676.0,699828.0,-8224.0,-8388608.0
31.717,1160571.0,1106133.0,268089.0,423401.0,-17030.0,680778.0,-9086.0,-8388608.0
31.719,1160571.0,1106133.0,268089.0,423401.0,-17030.0,680778.0,-9086.0,-8388608.0
31.721,1252699.0,1248539.0,128158.0,284450.0,-16932.0,686326.0,25599.0,-8388608.0
31.723,1252699.0,1248539.0,128158.0,284450.0,-16932.0,686326.0,25599.0,-8388608.0
31.725,1288744.0,1341976.0,-38582.0,227312.0,-17424.0,703508.0,358982.0,-8388608.0
31.727,1288744.0,1341976.0,-38582.0,227312.0,-17424.0,703508.0,358982.0,-8388608.0
31.729,1258058.0,1201253.0,172810.0,401743.0,-18290.0,687494.0,235311.0,-8388608.0
31.731,1258058.0,1201253.0,172810.0,401743.0,-18290.0,687494.0,235311.0,-8388608.0
31.743,1218063.0,1133450.0,383449.0,494359.0,-18554.0,635071.0,32500.0,-8388608.0
31.745,1195644.0,1131423.0,398284.0,509196.0,-17353.0,644895.0,26620.0,-8388608.0
31.747,1195644.0,1131423.0,398284.0,509196.0,-17353.0,644895.0,26620.0,-8388608.0
31.749,1240714.0,1140069.0,417606.0,498407.0,-18208.0,641707.0,-10458.0,-8388608.0
31.751,1240714.0,1140069.0,417606.0,498407.0,-18208.0,641707.0,-10458.0,-8388608.0
31.753,1252203.0,1138028.0,373994.0,458559.0,-18409.0,638821.0,-13484.0,-8388608.0
31.755,1252203.0,1138028.0,373994.0,458559.0,-18409.0,638821.0,-13484.0,-8388608.0
31.757,1233572.0,1127086.0,324186.0,485838.0,-18914.0,640401.0,-9059.0,-8388608.0
31.759,1233572.0,1127086.0,324186.0,485838.0,-18914.0,640401.0,-9059.0,-8388608.0
31.761,1196705.0,1093220.0,299299.0,424146.0,-19230.0,646607.0,-7476.0,-8388608.0
31.763,1196705.0,1093220.0,299299.0,424146.0,-19230.0,646607.0,-7476.0,-8388608.0
31.765,1131518.0,1086539.0,286456.0,414963.0,-18967.0,718978.0,-10631.0,-8388608.0
31.767,1131518.0,1086539.0,286456.0,414963.0,-18967.0,718978.0,-10631.0,-8388608.0
31.779,1211464.0,1136046.0,269848.0,361891.0,-18049.0,714498.0,9635.0,-8388608.0
31.781,1192776.0,1102713.0,288036.0,403295.0,-17534.0,697741.0,-9314.0,-8388608.0
31.783,1192776.0,1102713.0,288036.0,403295.0,-17534.0,697741.0,-9314.0,-8388608.0
31.785,1184163.0,1096144.0,308856.0,417723.0,-18206.0,684681.0,-12398.0,-8388608.0
31.787,1184163.0,1096144.0,308856.0,417723.0,-18206.0,684681.0,-12398.0,-8388608.0
31.789,1224927.0,1183732.0,198498.0,363319.0,-18209.0,697300.0,105501.0,-8388608.0
31.791,1224927.0,1183732.0,198498.0,363319.0,-18209.0,697300.0,105501.0,-8388608.0
31.793,1322529.0,1345779.0,-11386.0,251306.0,-18951.0,701593.0,413264.0,-8388608.0
31.795,1322529.0,1345779.0,-11386.0,251306.0,-18951.0,701593.0,413264.0,-8388608.0
31.797,1211164.0,1172781.0,233361.0,391387.0,-19506.0,684194.0,107790.0,-8388608.0
