Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Label
85.015,1102.044677734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.026,1304.52587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.027,1148.887451171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.107,1283.8895263671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.118,1094.8009033203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.119,1255.9749755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.123,1300.324951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.127,1146.12060546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.131,1078.4573974609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.142,1308.7625732421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.143,1173.9588623046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.147,1070.3260498046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.151,1194.4974365234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.155,1309.799072265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.166,1070.2813720703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.167,1162.2490234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.171,1303.166259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.175,1231.830810546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.186,1132.372802734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.187,1290.63623046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.191,1258.822265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.195,1094.9219970703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.199,1106.084716796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.21,1279.623046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.211,1115.89501953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.215,1083.90283203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.219,1243.978271484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.223,1293.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.234,1070.8768310546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.235,1216.16796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.239,1302.4921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.243,1170.2884521484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.247,1063.122314453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.258,1303.3343505859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.259,1201.007568359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.263,1064.6058349609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.267,1151.9451904296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.271,1295.855224609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.282,1072.82177734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.283,1121.448974609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.287,1281.066650390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.291,1255.03076171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.302,1096.494384765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
